name,latitude,longitude,state,country,sky_weather,weather_description,timestamp,Team
Houston,29.7589382,-95.3676974,Texas,US,Clear,clear sky,2024-03-26 19:57:35,Houston Dynamo FC
Ramón Cabrero 2007,No data,No data,No data,No data,No data,No data,No data,Club Atlético Lanús
Avdas. 25 de Junio y Las Palmeras,No data,No data,No data,No data,No data,No data,No data,Orense SC
Augsburgo,48.3668041,10.8986971,Bavaria,DE,Clouds,broken clouds,2024-03-26 20:02:27,FC Augsburg
Riad,24.638916,46.7160104,Riyadh Region,SA,Clear,clear sky,2024-03-26 20:02:28,Al-Shabab FC
8 Mediteranskih Igara 2,No data,No data,No data,No data,No data,No data,No data,HNK Hajduk Split
Konya,No data,No data,No data,No data,No data,No data,No data,Konyaspor
Newcastle upon Tyne(Coord.54°58′32″N1°37′18″O﻿ / ﻿54.975556,No data,No data,No data,No data,No data,No data,No data,Newcastle United
Sinsheim,49.2553,8.87722,Baden-Württemberg,DE,Clouds,overcast clouds,2024-03-26 20:00:31,TSG 1899 Hoffenheim
Bochum,51.4818111,7.2196635,North Rhine-Westphalia,DE,Clouds,overcast clouds,2024-03-26 20:02:30,VfL Bochum
Sofía,No data,No data,No data,No data,No data,No data,No data,CSKA-Sofia
